Audience_rating,Cast,Critic_rating,Director,Genre,ID,Movie,Release,Review,imdb,weblink
58,"[{u'name': u'Christopher Lambert', u'characters': [u'Rayden'], u'id': u'162664731'}, {u'name': u'Robin Shou', u'characters': [u'Liu Kang'], u'id': u'162664732'}, {u'name': u'Linden Ashby', u'characters': [u'Johnny Cage'], u'id': u'486278216'}, {u'name': u'Cary-Hiroyuki Tagawa', u'characters': [u'Shang Tsung'], u'id': u'162707828'}, {u'name': u'Bridgette Wilson', u'characters': [u'Sonya Blade'], u'id': u'162683103'}]",33,[{u'name': u'Paul W.S. Anderson'}],"[Action & Adventure, Science Fiction & Fantasy]",10565,Mortal Kombat,1995-08-18,http://api.rottentomatoes.com/api/public/v1.0/movies/10565/reviews.json,0113855,http://www.rottentomatoes.com/m/mortal_kombat/
66,"[{u'name': u'James Cromwell', u'characters': [u'Arthur Hoggett'], u'id': u'162652553'}, {u'name': u'Magda Szubanski', u'characters': [u'Magda Hoggett'], u'id': u'162658429'}, {u'name': u'Zoe Burton', u'characters': [u'Daughter'], u'id': u'771587601'}, {u'name': u'Paul Goodard', u'characters': [u'Son in Law'], u'id': u'771587600'}, {u'name': u'Paul Goddard', u'characters': [u'Son-in-Law'], u'id': u'551464478'}]",97,"[{u'name': u'Chris Noonan'}, {u'name': u'Christine Cavanaugh'}]","[Drama, Action & Adventure, Kids & Family, Science Fiction & Fantasy]",9898,Babe,1995-08-04,http://api.rottentomatoes.com/api/public/v1.0/movies/9898/reviews.json,0112431,http://www.rottentomatoes.com/m/1065598-babe/
52,"[{u'name': u'Julia Roberts', u'characters': [u'Grace'], u'id': u'162659460'}, {u'name': u'Dennis Quaid', u'characters': [u'Eddie Bichon'], u'id': u'162655527'}, {u'name': u'Robert Duvall', u'characters': [u'Wyly King'], u'id': u'162652186'}, {u'name': u'Gena Rowlands', u'characters': [u'Georgia King'], u'id': u'162653219'}, {u'name': u'Kyra Sedgwick', u'characters': [u'Emma Rae'], u'id': u'162663789'}]",37,[{u'name': u'Lasse Hallstrom'}],"[Drama, Romance, Comedy]",13125,Something to Talk About,1995-08-04,http://api.rottentomatoes.com/api/public/v1.0/movies/13125/reviews.json,0114496,http://www.rottentomatoes.com/m/something_to_talk_about/
80,"[{u'name': u'Antonio Banderas', u'characters': [u'El Mariachi'], u'id': u'162654885'}, {u'name': u'Salma Hayek', u'characters': [u'Carolina'], u'id': u'162673418'}, {u'name': u'Joaquim de Almeida', u'characters': [u'Bucho'], u'id': u'306686128'}, {u'name': u'Cheech Marin', u'characters': [u'Bartender'], u'id': u'162653738'}, {u'name': u'Steve Buscemi', u'characters': [u'Buscemi'], u'id': u'162652875'}]",62,[{u'name': u'Robert Rodriguez'}],"[Mystery & Suspense, Action & Adventure]",16836,Desperado,1995-08-25,http://api.rottentomatoes.com/api/public/v1.0/movies/16836/reviews.json,0112851,http://www.rottentomatoes.com/m/desperado/
96,"[{u'name': u'Kevin Spacey', u'characters': [u'Roger `Verbal' Kint'], u'id': u'162657625'}, {u'name': u'Stephen Baldwin', u'characters': [u'Michael McManus'], u'id': u'162664355'}, {u'name': u'Gabriel Byrne', u'characters': [u'Dean Keaton'], u'id': u'162666076'}, {u'name': u'Chazz Palminteri', u'characters': [u'Dave Kujan'], u'id': u'162655475'}, {u'name': u'Kevin Pollak', u'characters': [u'Hockney'], u'id': u'162675617'}]",88,[{u'name': u'Bryan Singer'}],"[Mystery & Suspense, Drama]",16303,The Usual Suspects,1995-08-16,http://api.rottentomatoes.com/api/public/v1.0/movies/16303/reviews.json,0114814,http://www.rottentomatoes.com/m/usual_suspects/
65,"[{u'name': u'Christopher Walken', u'characters': [u'Angel Gabriel'], u'id': u'162652837'}, {u'name': u'Elias Koteas', u'characters': [u'Thomas Dagget'], u'id': u'162654218'}, {u'name': u'Eric Stoltz', u'characters': [u'Angel Simon'], u'id': u'162662788'}, {u'name': u'Virginia Madsen', u'characters': [u'Katherine'], u'id': u'162667395'}, {u'name': u'Moriah Snyder', u'characters': [u'Mary'], u'id': u'770990591'}]",41,[{u'name': u'Gregory Widen'}],"[Horror, Mystery & Suspense, Science Fiction & Fantasy]",13074,The Prophecy,1995-09-01,http://api.rottentomatoes.com/api/public/v1.0/movies/13074/reviews.json,0114194,http://www.rottentomatoes.com/m/1065632-prophecy/
52,"[{u'name': u'Scott Bakula', u'characters': [u'Harry'], u'id': u'162657382'}, {u'name': u'Kevin J. O'Connor', u'characters': [u'Swann'], u'id': u'351526126'}, {u'name': u'Famke Janssen', u'characters': [u'Dorothea'], u'id': u'162669246'}, {u'name': u'Daniel von Bargen', u'characters': [u'Nix'], u'id': u'341817849'}, {u'name': u'Barry Del Sherman', u'characters': [u'Butterfield'], u'id': u'770672297'}]",65,[{u'name': u'Clive Barker'}],[Horror],17372,Lord of Illusions,1995-08-25,http://api.rottentomatoes.com/api/public/v1.0/movies/17372/reviews.json,0113690,http://www.rottentomatoes.com/m/lord_of_illusions/
68,"[{u'name': u'Steven Weber', u'characters': [u'Jeffrey'], u'id': u'162695899'}, {u'name': u'Michael T. Weiss', u'characters': [u'Steve'], u'id': u'162695901'}, {u'name': u'Patrick Stewart', u'characters': [u'Sterling'], u'id': u'162664301'}, {u'name': u'Bryan Batt', u'characters': [u'Darius'], u'id': u'770719813'}, {u'name': u'Nathan Lane', u'characters': [u'Father Dan'], u'id': u'162656247'}]",68,[{u'name': u'Christopher Ashley'}],"[Drama, Gay & Lesbian, Comedy]",13718,Jeffrey,1995-08-04,http://api.rottentomatoes.com/api/public/v1.0/movies/13718/reviews.json,0113464,http://www.rottentomatoes.com/m/jeffrey/
31,"[{u'name': u'Joan Severance', u'characters': [u'Darcy Walker'], u'id': u'168457601'}, {u'name': u'Garrett Morris', u'characters': [u'Argyle'], u'id': u'359855179'}, {u'name': u'Bruce Abbott', u'characters': [u'Michael'], u'id': u'162715703'}, {u'name': u'Stephen Lee', u'characters': [u'Capt. Strickland'], u'id': u'770670115'}, {u'name': u'Terri J. Vaughn', u'characters': [u'Veronica / Tender Lovin''], u'id': u'566051710'}]",-1,"[{u'name': u'Jonathan A. Winfrey'}, {u'name': u'Jonathan Winfrey'}]","[Action & Adventure, Television, Science Fiction & Fantasy]",770672214,Black Scorpion,1995-08-22,http://api.rottentomatoes.com/api/public/v1.0/movies/770672214/reviews.json,0112519,http://www.rottentomatoes.com/m/1070619-black_scorpion/
20,"[{u'name': u'Tim Daly', u'characters': [u'Richard Jacks'], u'id': u'351326310'}, {u'name': u'Sean Young', u'characters': [u'Helen Hyde'], u'id': u'162671441'}, {u'name': u'Lysette Anthony', u'characters': [u'Sarah'], u'id': u'162668720'}, {u'name': u'Stephen Tobolowsky', u'characters': [u'Olivier'], u'id': u'162660810'}, {u'name': u'Harvey Fierstein', u'characters': [u'Yves'], u'id': u'162689720'}]",14,"[{u'name': u'David Price'}, {u'name': u'David F. Price'}]","[Horror, Comedy]",12042,Dr Jekyll & Ms Hyde,1995-08-25,http://api.rottentomatoes.com/api/public/v1.0/movies/12042/reviews.json,0112895,http://www.rottentomatoes.com/m/dr_jekyll_and_ms_hyde/
40,"[{u'name': u'Stephen Chow', u'id': u'162683996'}, {u'name': u'Man Tat Ng', u'id': u'625681145'}, {u'name': u'Gigi Leung', u'id': u'282437794'}, {u'name': u'Joe Cheng', u'id': u'770677055'}, {u'name': u'Chi Fai Chan', u'id': u'518782731'}]",-1,"[{u'name': u'Jing Wong'}, {u'name': u'Wai-Man Yip'}]","[Art House & International, Science Fiction & Fantasy, Comedy]",770673902,Baak bin sing gwan (Sixty Million Dollar Man),1995-08-19,http://api.rottentomatoes.com/api/public/v1.0/movies/770673902/reviews.json,0112446,http://www.rottentomatoes.com/m/baak-bin-sing-gwan-sixty-million-dollar-man/
25,"[{u'name': u'Jeff Speakman', u'characters': [u'John Lomax'], u'id': u'364659331'}, {u'name': u'James Brolin', u'characters': [u'Warden Munsey'], u'id': u'162670952'}, {u'name': u'Jim Varney', u'characters': [u'Snake'], u'id': u'162662792'}, {u'name': u'Michael Shaner', u'characters': [u'Martin Kagan'], u'id': u'770678079'}, {u'name': u'Alex Datcher', u'characters': [u'Dr. Alice Barnes'], u'id': u'770678081'}]",-1,[{u'name': u'Rick Avery'}],"[Drama, Action & Adventure]",770674405,The Expert,1994-07-01,http://api.rottentomatoes.com/api/public/v1.0/movies/770674405/reviews.json,0109760,http://www.rottentomatoes.com/m/expert/
85,"[{u'name': u'Wesley Addy', u'characters': [u'Stimson'], u'id': u'335717800'}, {u'name': u'Richard Masur', u'characters': [u'Groves'], u'id': u'162697374'}, {u'name': u'Kenneth Welsh', u'characters': [u'Harry S Truman'], u'id': u'364643706'}, {u'name': u'David Gow', u'id': u'417268488'}, {u'name': u'Tatsuo Matsumara', u'id': u'770834510'}]",-1,"[{u'name': u'Koreyoshi Kurahara'}, {u'name': u'Roger Spottiswoode'}]","[Drama, Television]",770677154,Hiroshima,1995-08-06,http://api.rottentomatoes.com/api/public/v1.0/movies/770677154/reviews.json,0113309,http://www.rottentomatoes.com/m/1157359-hiroshima/
33,"[{u'name': u'Denzel Washington', u'characters': [u'Parker Barnes'], u'id': u'162661439'}, {u'name': u'Kelly Lynch', u'characters': [u'Madison Carter'], u'id': u'162672247'}, {u'name': u'Russell Crowe', u'characters': [u'SID 6.7'], u'id': u'162652569'}, {u'name': u'Stephen Spinella', u'characters': [u'Lindenmeyer'], u'id': u'162700153'}, {u'name': u'William Forsythe', u'characters': [u'William Cochran'], u'id': u'162653015'}]",33,[{u'name': u'Brett Leonard'}],"[Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy]",14689,Virtuosity,1995-08-04,http://api.rottentomatoes.com/api/public/v1.0/movies/14689/reviews.json,0114857,http://www.rottentomatoes.com/m/virtuosity/
83,"[{u'name': u'LL Cool J', u'id': u'162652315'}, {u'name': u'Method Man', u'id': u'162653944'}, {u'name': u'Craig Mack', u'id': u'162732193'}, {u'name': u'Dr. Dre', u'id': u'162718477'}, {u'name': u'Naughty By Nature', u'id': u'770711957'}]",80,[{u'name': u'Brian Robbins'}],"[Musical & Performing Arts, Documentary]",15901,The Show,1995-08-25,http://api.rottentomatoes.com/api/public/v1.0/movies/15901/reviews.json,0112084,http://www.rottentomatoes.com/m/show/
78,"[{u'name': u'Laurence Fishburne', u'characters': [u'Hannibal Lee'], u'id': u'162669090'}, {u'name': u'Cuba Gooding Jr.', u'characters': [u'Billy `Train' Roberts'], u'id': u'162664235'}, {u'name': u'Malcolm-Jamal Warner', u'characters': [u'Leroy Cappy'], u'id': u'770690761'}, {u'name': u'Andre Braugher', u'characters': [u'Lt. Col Davis'], u'id': u'162692369'}, {u'name': u'Courtney B. Vance', u'characters': [u'Lt. Glenn'], u'id': u'364660782'}]",86,[{u'name': u'Robert Markowitz'}],"[Documentary, Drama, Action & Adventure]",285355020,The Tuskegee Airmen,1995-08-26,http://api.rottentomatoes.com/api/public/v1.0/movies/285355020/reviews.json,0114745,http://www.rottentomatoes.com/m/tuskegee_airmen/
41,"[{u'name': u'Stephen Lang', u'characters': [u'Michael'], u'id': u'162662195'}, {u'name': u'Ryan Slater', u'characters': [u'Ryan'], u'id': u'162670351'}, {u'name': u'Yi Ding (II)', u'characters': [u'Ling'], u'id': u'162673220'}, {u'name': u'Fei Lung Huang', u'characters': [u'Chu'], u'id': u'770804032'}, {u'name': u'Wang Fei', u'characters': [u'Chu'], u'id': u'546740445'}]",20,[{u'name': u'Christopher Cain'}],"[Action & Adventure, Kids & Family]",11237,The Amazing Panda Adventure,1995-08-25,http://api.rottentomatoes.com/api/public/v1.0/movies/11237/reviews.json,0112342,http://www.rottentomatoes.com/m/amazing_panda_adventure/
41,"[{u'name': u'Stephen Lang', u'characters': [u'Michael'], u'id': u'162662195'}, {u'name': u'Ryan Slater', u'characters': [u'Ryan'], u'id': u'162670351'}, {u'name': u'Yi Ding (II)', u'characters': [u'Ling'], u'id': u'162673220'}, {u'name': u'Fei Lung Huang', u'characters': [u'Chu'], u'id': u'770804032'}, {u'name': u'Wang Fei', u'characters': [u'Chu'], u'id': u'546740445'}]",20,[{u'name': u'Christopher Cain'}],"[Action & Adventure, Kids & Family]",11237,The Amazing Panda Adventure,1995-08-25,http://api.rottentomatoes.com/api/public/v1.0/movies/11237/reviews.json,0112342,http://www.rottentomatoes.com/m/amazing_panda_adventure/
