Audience_rating,Cast,Critic_rating,Director,Genre,ID,Movie,Release,Review,imdb,weblink
37,"[{u'name': u'Melanie Griffith', u'characters': [u'Betty Kerner'], u'id': u'162670465'}, {u'name': u'Antonio Banderas', u'characters': [u'Art/Bart Dodge'], u'id': u'162654885'}, {u'name': u'Daryl Hannah', u'characters': [u'Liz Kerner'], u'id': u'162659641'}, {u'name': u'Danny Aiello', u'characters': [u'Gene Paletto'], u'id': u'162661514'}, {u'name': u'Joan Cusack', u'characters': [u'Gloria'], u'id': u'162655020'}]",14,[{u'name': u'Fernando Trueba'}],"[Romance, Art House & International, Comedy]",12321,Two Much,1996-03-15,http://api.rottentomatoes.com/api/public/v1.0/movies/12321/reviews.json,0118001,http://www.rottentomatoes.com/m/two_much/
61,"[{u'name': u'Robin Williams', u'characters': [u'Alan Parrish'], u'id': u'162652387'}, {u'name': u'Bonnie Hunt', u'characters': [u'Sarah Whittle'], u'id': u'162654629'}, {u'name': u'Kirsten Dunst', u'characters': [u'Judy Shepherd'], u'id': u'162654578'}, {u'name': u'Bradley Pierce', u'characters': [u'Peter Shepherd'], u'id': u'162658560'}, {u'name': u'Bebe Neuwirth', u'characters': [u'Nora'], u'id': u'162670476'}]",50,[{u'name': u'Joe Johnston'}],"[Action & Adventure, Kids & Family, Romance, Science Fiction & Fantasy, Comedy]",12436,Jumanji,1995-12-15,http://api.rottentomatoes.com/api/public/v1.0/movies/12436/reviews.json,0113497,http://www.rottentomatoes.com/m/1068044-jumanji/
94,"[{u'name': u'Al Pacino', u'characters': [u'Vincent Hanna'], u'id': u'162654461'}, {u'name': u'Robert De Niro', u'characters': [u'Neil McCauley'], u'id': u'162655521'}, {u'name': u'Val Kilmer', u'characters': [u'Chris Shiherlis'], u'id': u'162652314'}, {u'name': u'Jon Voight', u'characters': [u'Nate'], u'id': u'162664393'}, {u'name': u'Tom Sizemore', u'characters': [u'Michael Cheritto'], u'id': u'162695570'}]",86,[{u'name': u'Michael Mann'}],"[Mystery & Suspense, Action & Adventure]",13098,Heat,1995-12-15,http://api.rottentomatoes.com/api/public/v1.0/movies/13098/reviews.json,0113277,http://www.rottentomatoes.com/m/1068182-heat/
88,"[{u'name': u'John Seda', u'id': u'770670008'}, {u'name': u'Madeline Stowe', u'id': u'771513497'}, {u'name': u'Bruce Willis', u'characters': [u'James Cole'], u'id': u'162652509'}, {u'name': u'Madeleine Stowe', u'characters': [u'Dr. Kathryn Railly'], u'id': u'162673205'}, {u'name': u'Brad Pitt', u'characters': [u'Jeffrey Goines'], u'id': u'162652627'}]",88,[{u'name': u'Terry Gilliam'}],"[Drama, Science Fiction & Fantasy]",15508,Twelve Monkeys (12 Monkeys),1995-12-27,http://api.rottentomatoes.com/api/public/v1.0/movies/15508/reviews.json,0114746,http://www.rottentomatoes.com/m/12_monkeys/
61,"[{u'name': u'Steve Martin', u'characters': [u'George Banks'], u'id': u'162654836'}, {u'name': u'Diane Keaton', u'characters': [u'Nina Banks'], u'id': u'162660369'}, {u'name': u'Martin Short', u'characters': [u'Franck Eggelhoffer'], u'id': u'162657763'}, {u'name': u'Kimberly Williams-Paisley', u'characters': [u'Annie Banks MacKenzie'], u'id': u'326392318'}, {u'name': u'George Newbern', u'characters': [u'Bryan MacKenzie'], u'id': u'364656170'}]",48,[{u'name': u'Charles Shyer'}],[Comedy],10379,Father of the Bride Part II,1995-12-08,http://api.rottentomatoes.com/api/public/v1.0/movies/10379/reviews.json,0113041,http://www.rottentomatoes.com/m/father_of_the_bride_part_ii/
86,"[{u'name': u'Susan Sarandon', u'characters': [u'Sister Helen Prejean'], u'id': u'162654579'}, {u'name': u'Sean Penn', u'characters': [u'Matthew Poncelet'], u'id': u'162652280'}, {u'name': u'Robert Prosky', u'characters': [u'Hilton Barber'], u'id': u'364619250'}, {u'name': u'Raymond J. Barry', u'characters': [u'Earl Delacroix'], u'id': u'162750342'}, {u'name': u'R. Lee Ermey', u'characters': [u'Clyde Percy'], u'id': u'162662280'}]",93,[{u'name': u'Tim Robbins'}],"[Mystery & Suspense, Drama]",16611,Dead Man Walking,1995-12-29,http://api.rottentomatoes.com/api/public/v1.0/movies/16611/reviews.json,0112818,http://www.rottentomatoes.com/m/1068779-dead_man_walking/
44,"[{u'name': u'Robert Hays', u'characters': [u'Bob'], u'id': u'162662915'}, {u'name': u'Kim Greist', u'characters': [u'Laura'], u'id': u'162692498'}, {u'name': u'Veronica Lauren', u'characters': [u'Hope'], u'id': u'770801518'}, {u'name': u'Kevin Chevalia', u'characters': [u'Jamie'], u'id': u'770903325'}, {u'name': u'Benj Thall', u'characters': [u'Peter'], u'id': u'770786115'}]",53,[{u'name': u'David R. Ellis'}],"[Action & Adventure, Kids & Family]",9524,Homeward Bound II - Lost in San Francisco,1996-03-08,http://api.rottentomatoes.com/api/public/v1.0/movies/9524/reviews.json,0116552,http://www.rottentomatoes.com/m/homeward_bound_2_lost_in_san_francisco/
40,"[{u'name': u'Geena Davis', u'characters': [u'Morgan Adams'], u'id': u'162659514'}, {u'name': u'Matthew Modine', u'characters': [u'William Shaw'], u'id': u'162653724'}, {u'name': u'Frank Langella', u'characters': [u'Dawg Brown'], u'id': u'162664308'}, {u'name': u'Maury Chaykin', u'characters': [u'John Reed'], u'id': u'162678070'}, {u'name': u'Patrick Malahide', u'characters': [u'Ainslee'], u'id': u'721512738'}]",37,[{u'name': u'Renny Harlin'}],"[Action & Adventure, Kids & Family]",10672,Cutthroat Island,1995-12-22,http://api.rottentomatoes.com/api/public/v1.0/movies/10672/reviews.json,0112760,http://www.rottentomatoes.com/m/cutthroat_island/
74,"[{u'name': u'Joan Allen', u'characters': [u'Pat Nixon'], u'id': u'162660057'}, {u'name': u'Powers Boothe', u'characters': [u'Alexander M. Haig'], u'id': u'162691481'}, {u'name': u'Ed Harris', u'characters': [u'E. Howard Hunt'], u'id': u'162654543'}, {u'name': u'Bob Hoskins', u'characters': [u'J. Edgar Hoover'], u'id': u'162652225'}, {u'name': u'E.G. Marshall', u'characters': [u'John N. Mitchell'], u'id': u'162692825'}]",75,[{u'name': u'Oliver Stone'}],"[Documentary, Drama]",16248,Nixon,1995-12-22,http://api.rottentomatoes.com/api/public/v1.0/movies/16248/reviews.json,0113987,http://www.rottentomatoes.com/m/nixon/
70,"[{u'name': u'Tim Roth', u'characters': [u'Ted the bellhop'], u'id': u'162652856'}, {u'name': u'Valeria Golino', u'characters': [u'Athena'], u'id': u'162664634'}, {u'name': u'Madonna', u'characters': [u'Elspeth'], u'id': u'162660816'}, {u'name': u'Alicia Witt', u'characters': [u'Elspeth's Girl'], u'id': u'162670451'}, {u'name': u'Lili Taylor', u'characters': [u'Raven'], u'id': u'162668140'}]",14,"[{u'name': u'Allison Anders'}, {u'name': u'Robert Rodriguez'}]",[Comedy],13075,Four Rooms,1996-12-26,http://api.rottentomatoes.com/api/public/v1.0/movies/13075/reviews.json,0113101,http://www.rottentomatoes.com/m/four_rooms/
72,"[{u'name': u'James Earl Jones', u'characters': [u'Rev. Stephen Kumalo'], u'id': u'162655731'}, {u'name': u'Richard Harris', u'characters': [u'James Jarvis'], u'id': u'162656199'}, {u'name': u'Vusi Kunene', u'characters': [u'Rev. Theophilus Msimangu'], u'id': u'770688828'}, {u'name': u'Charles S. Dutton', u'characters': [u'John Kumalo'], u'id': u'162676371'}, {u'name': u'Leleti Khumalo', u'characters': [u'Katie'], u'id': u'162668067'}]",85,"[{u'name': u'Darrell Roodt'}, {u'name': u'Darrell James Roodt'}]",[Drama],11010,"Cry, the Beloved Country",1995-12-15,http://api.rottentomatoes.com/api/public/v1.0/movies/11010/reviews.json,0112749,http://www.rottentomatoes.com/m/1068781-cry_the_beloved_country/
92,"[{u'name': u'Peter Sallis', u'characters': [u'Wallace'], u'id': u'162654410'}, {u'name': u'Anne Reid', u'id': u'162708909'}]",100,[{u'name': u'Nick Park'}],"[Action & Adventure, Animation, Kids & Family, Comedy]",381422235,Wallace and Gromit: A Close Shave,1995-01-01,http://api.rottentomatoes.com/api/public/v1.0/movies/381422235/reviews.json,0112691,http://www.rottentomatoes.com/m/wallace_and_gromit_a_close_shave/
56,"[{u'name': u'Cassiano Carneiro', u'id': u'770686213'}, {u'name': u'Joanna Fomm', u'id': u'770901583'}]",-1,"[{u'name': u'Jose Joffily'}, {u'name': u'Jose Jofilly'}]","[Art House & International, Drama]",770678134,Quem Matou Pixote? (Who Killed Pixote?),1996-08-01,http://api.rottentomatoes.com/api/public/v1.0/movies/770678134/reviews.json,0117418,http://www.rottentomatoes.com/m/quem-matou-pixote-who-killed-pixote/
