Audience_rating,Cast,Critic_rating,Director,Genre,ID,Movie,Release,Review,imdb,weblink
49,"[{u'name': u'John Malkovich', u'characters': [u'Buck Howard'], u'id': u'162655610'}, {u'name': u'Colin Hanks', u'characters': [u'Troy'], u'id': u'162666499'}, {u'name': u'Emily Blunt', u'characters': [u'Valerie'], u'id': u'162685827'}, {u'name': u'Steve Zahn', u'characters': [u'Kenny'], u'id': u'162652352'}, {u'name': u'Griffin Dunne', u'characters': [u'Assistant'], u'id': u'162660139'}]",71,[{u'name': u'Sean McGinly'}],"[Drama, Comedy]",770680761,The Great Buck Howard,2009-03-20,http://api.rottentomatoes.com/api/public/v1.0/movies/770680761/reviews.json,0460810,http://www.rottentomatoes.com/m/1189629-the_great_buck_howard/
59,"[{u'name': u'Ellen Burstyn', u'characters': [u'Hagar Shipley'], u'id': u'162660525'}, {u'name': u'Ellen Page', u'characters': [u'Arlene'], u'id': u'326392013'}, {u'name': u'Kevin Zegers', u'characters': [u'John'], u'id': u'162656887'}, {u'name': u'Dylan Baker', u'characters': [u'Marvin'], u'id': u'162670635'}, {u'name': u'Christine Horne', u'characters': [u'Young Hagar'], u'id': u'770676583'}]",39,[{u'name': u'Kari Skogland'}],[Drama],770673631,The Stone Angel,2007-09-12,http://api.rottentomatoes.com/api/public/v1.0/movies/770673631/reviews.json,0847897,http://www.rottentomatoes.com/m/10009890-stone_angel/
29,"[{u'name': u'Shannyn Sossamon', u'characters': [u'Beth Raymond'], u'id': u'162653564'}, {u'name': u'Edward Burns', u'characters': [u'Jack Andrews'], u'id': u'162653702'}, {u'name': u'Ana Claudia Talancon', u'characters': [u'Tayor Anthony'], u'id': u'162691159'}, {u'name': u'Ray Wise', u'characters': [u'Ted Summers'], u'id': u'162689781'}, {u'name': u'Azura Skye', u'characters': [u'Leann Cole'], u'id': u'262342584'}]",0,[{u'name': u'Eric Valette'}],"[Mystery & Suspense, Horror]",770674406,One Missed Call,2008-01-04,http://api.rottentomatoes.com/api/public/v1.0/movies/770674406/reviews.json,0479968,http://www.rottentomatoes.com/m/one_missed_call/
43,"[{u'name': u'Maria Bello', u'characters': [u'Nancy Stockwell'], u'id': u'162654542'}, {u'name': u'Jason Patric', u'characters': [u'Louis Farley'], u'id': u'162668151'}, {u'name': u'Rufus Sewell', u'characters': [u'Albert Stockwell'], u'id': u'162654887'}, {u'name': u'Amy Brenneman', u'characters': [u'Carol'], u'id': u'162654643'}, {u'name': u'Michael Nyqvist', u'characters': [u'Stan'], u'id': u'291428358'}]",17,[{u'name': u'Johan Renck'}],"[Mystery & Suspense, Drama]",770682049,Downloading Nancy,2008-01-21,http://api.rottentomatoes.com/api/public/v1.0/movies/770682049/reviews.json,0411323,http://www.rottentomatoes.com/m/downloading_nancy/
18,"[{u'name': u'Haylie Duff', u'characters': [u'Lee'], u'id': u'326394164'}, {u'name': u'Ryan Merriman', u'characters': [u'Adam Benson'], u'id': u'162675132'}, {u'name': u'Danny Nucci', u'characters': [u'Perry'], u'id': u'364600865'}, {u'name': u'Jonathan Chase', u'characters': [u'Tom'], u'id': u'326298325'}, {u'name': u'Jonathan Slavin', u'characters': [u'Paul'], u'id': u'460998113'}]",-1,[{u'name': u'Marty Weiss'}],"[Drama, Horror, Mystery & Suspense]",770729240,Backwoods,2008-01-03,http://api.rottentomatoes.com/api/public/v1.0/movies/770729240/reviews.json,1153100,http://www.rottentomatoes.com/m/backwoods/
56,"[{u'name': u'Edyta Olszowka', u'id': u'770807539'}, {u'name': u'Anna Dereszowska', u'id': u'770683248'}, {u'name': u'Izabela Kuna', u'id': u'770807540'}, {u'name': u'Magdalena Rozczka', u'id': u'770698637'}, {u'name': u'Robert Wieckiewicz', u'id': u'770704471'}]",-1,[{u'name': u'Tomasz Konecki'}],[Comedy],770785663,Lejdis,2008-02-01,http://api.rottentomatoes.com/api/public/v1.0/movies/770785663/reviews.json,1175505,http://www.rottentomatoes.com/m/lejdis/
78,"[{u'name': u'Douglas Dalton', u'id': u'771061844'}, {u'name': u'Roger Gunson', u'id': u'771061845'}, {u'name': u'Samantha Geimer', u'id': u'770793738'}, {u'name': u'Lawrence Silver', u'id': u'771061846'}, {u'name': u'Laurence J. Rittenband', u'id': u'771061847'}]",87,[{u'name': u'Marina Zenovich'}],"[Documentary, Musical & Performing Arts, Special Interest]",770682559,Roman Polanski: Wanted and Desired,2008-07-18,http://api.rottentomatoes.com/api/public/v1.0/movies/770682559/reviews.json,1157705,http://www.rottentomatoes.com/m/roman_polanski_wanted_and_desired/
54,"[{u'name': u'Andre Lima', u'id': u'770692952'}, {u'name': u'Martin Kove', u'id': u'359853766'}, {u'name': u'Gary Busey', u'id': u'162666821'}, {u'name': u'Aycka Lima', u'id': u'770692954'}, {u'name': u'Brye Cooper', u'id': u'770692953'}]",-1,[{u'name': u'Gerson Sanginitto'}],"[Drama, Action & Adventure, Kids & Family, Sports & Fitness]",770681100,Beyond the Ring,2008-01-08,http://api.rottentomatoes.com/api/public/v1.0/movies/770681100/reviews.json,0910993,http://www.rottentomatoes.com/m/1190164-beyond_the_ring/
79,"[{u'name': u'Sayuri Yoshinaga', u'characters': [u'Kayo'], u'id': u'351526528'}, {u'name': u'Mitsugoro Bando', u'characters': [u'Shigeru Nogami'], u'id': u'770677451'}, {u'name': u'Tadanobu Asano', u'characters': [u'Toru Yamasaki'], u'id': u'162697349'}, {u'name': u'Miku Sato', u'characters': [u'Teruyo Nogami'], u'id': u'770699602'}, {u'name': u'Shofukutei Tsurubei', u'characters': [u'Senkichi Fujioka'], u'id': u'770692350'}]",87,[{u'name': u'Yoji Yamada'}],"[Art House & International, Drama]",770805738,Kabe (Kaabee) (Kabei: Our Mother),2008-01-26,http://api.rottentomatoes.com/api/public/v1.0/movies/770805738/reviews.json,0855852,http://www.rottentomatoes.com/m/kabei_our_mother/
81,"[{u'name': u'Anni-Kristiina Juuso', u'id': u'162672813'}, {u'name': u'Mikal Gaup', u'id': u'770952106'}, {u'name': u'Mikael Persbrandt', u'id': u'394295163'}, {u'name': u'Bjorn Sundquist', u'id': u'573793112'}, {u'name': u'Michael Nyqvist', u'id': u'291428358'}]",-1,[{u'name': u'Nils Gaup'}],"[Art House & International, Drama]",770682212,Kautokeino-opproret (The Kautokeino Rebellion),2008-01-18,http://api.rottentomatoes.com/api/public/v1.0/movies/770682212/reviews.json,0479937,http://www.rottentomatoes.com/m/kautokeino-opproret-the-kautokeino-rebellion/
