,Audience_rating,Cast,Critic_rating,Director,Genre,ID,Movie,Release,Review,imdb,weblink,BoxOffice
29,74,"[{u'name': u'Laurie Fraser', u'characters': [u'Marie Antoinette'], u'id': u'771157751'}, {u'name': u'Guillaume Aretos', u'characters': [u'Robespierre'], u'id': u'771027637'}, {u'name': u'Pat Musick', u'characters': [u'Teacher'], u'id': u'770699384'}, {u'name': u'Karan Brar', u'characters': [u'Mason'], u'id': u'770912040'}, {u'name': u'Joshua Rush', u'characters': [u'Carl'], u'id': u'771431218'}]",79,[{u'name': u'Rob Minkoff'}],"[u'Action & Adventure', u'Animation', u'Kids & Family', u'Comedy']",771169232,Mr. Peabody & Sherman,2014-03-07,http://api.rottentomatoes.com/api/public/v1.0/movies/771169232/reviews.json,0864835,http://www.rottentomatoes.com/m/mr_peabody_and_sherman/,111392580
30,59,"[{u'name': u'Aaron Paul', u'characters': [u'Tobey Marshall'], u'id': u'410145522'}, {u'name': u'Imogen Poots', u'characters': [u'Julia Bonet'], u'id': u'770678493'}, {u'name': u'Dominic Cooper', u'characters': [u'Dino Brewster'], u'id': u'349219113'}, {u'name': u'Scott ""Kid Cudi"" Mescudi', u'characters': [u'Benny'], u'id': u'771354837'}, {u'name': u'Ramon Rodriguez', u'characters': [u'Joe Peck'], u'id': u'770685349'}]",22,[{u'name': u'Scott Waugh'}],[u'Action & Adventure'],771311994,Need For Speed,2014-03-14,http://api.rottentomatoes.com/api/public/v1.0/movies/771311994/reviews.json,2369135,http://www.rottentomatoes.com/m/need_for_speed/,43577636
31,60,"[{u'name': u'Wendi McLendon-Covey', u'characters': [u'Jan'], u'id': u'493912297'}, {u'name': u'Nia Long', u'characters': [u'May'], u'id': u'162661398'}, {u'name': u'Amy Smart', u'characters': [u'Hillary'], u'id': u'162655491'}, {u'name': u'Zulay Henao', u'characters': [u'Esperanza'], u'id': u'770682001'}, {u'name': u'Cocoa Brown', u'characters': [u'Lytia'], u'id': u'770745278'}]",16,[{u'name': u'Tyler Perry'}],"[u'Drama', u'Comedy']",771320504,The Single Moms Club,2014-03-14,http://api.rottentomatoes.com/api/public/v1.0/movies/771320504/reviews.json,2465140,http://www.rottentomatoes.com/m/the_single_moms_club/,15986272
33,88,"[{u'name': u'Mary Ellen Mark', u'id': u'771099366'}, {u'name': u'Phil Donahue', u'id': u'770674630'}, {u'name': u'Duffy Levant', u'id': u'771485051'}, {u'name': u'Joe Matthews', u'id': u'771361728'}, {u'name': u'Michael Strauss', u'id': u'771082869'}]",94,"[{u'name': u'Charlie Siskel'}, {u'name': u'John Maloof'}]","[u'Documentary', u'Special Interest']",771362199,Finding Vivian Maier,2014-03-21,http://api.rottentomatoes.com/api/public/v1.0/movies/771362199/reviews.json,2714900,http://www.rottentomatoes.com/m/finding_vivian_maier/,1503616
34,57,"[{u'name': u'Michael Pitt', u'characters': [u'Tommy Uva'], u'id': u'326300386'}, {u'name': u'Nina Arianda', u'characters': [u'Rosie'], u'id': u'771079864'}, {u'name': u'Andy Garcia', u'characters': [u'Big Al'], u'id': u'162672896'}, {u'name': u'Ray Romano', u'characters': [u'Jerry Cardozo'], u'id': u'162674838'}, {u'name': u'Griffin Dunne', u'characters': [u'Dave Lovell'], u'id': u'162660139'}]",83,"[{u'name': u'Raymond DeFelitta'}, {u'name': u'Raymond De Felitta'}]","[u'Drama', u'Comedy']",771371589,Rob the Mob,2014-03-21,http://api.rottentomatoes.com/api/public/v1.0/movies/771371589/reviews.json,2481480,http://www.rottentomatoes.com/m/rob_the_mob/,200371
35,38,"[{u'name': u'Sam Rockwell', u'characters': [u'Douglas Varney'], u'id': u'162652298'}, {u'name': u'Olivia Wilde', u'characters': [u'Elizabeth Roberts'], u'id': u'326299741'}, {u'name': u'Michelle Monaghan', u'characters': [u'Kara Varney'], u'id': u'162654801'}, {u'name': u'Ray Liotta', u'characters': [u'Jack Roberts'], u'id': u'162669095'}, {u'name': u'Norbert Leo Butz', u'characters': [u'Agent Andrew Carp'], u'id': u'351526913'}]",20,"[{u'name': u'Geoff Moore'}, {u'name': u'David Posamentier'}]","[u'Drama', u'Comedy']",771373166,Better Living Through Chemistry,2014-03-14,http://api.rottentomatoes.com/api/public/v1.0/movies/771373166/reviews.json,1609479,http://www.rottentomatoes.com/m/better_living_through_chemistry/,72273
36,80,"[{u'name': u'Shane Harper', u'characters': [u'Josh'], u'id': u'770846005'}, {u'name': u'Kevin Sorbo', u'characters': [u'Professor Radisson'], u'id': u'162676109'}, {u'name': u'David A.R. White', u'characters': [u'Pastor Dave'], u'id': u'559759203'}, {u'name': u'Dean Cain', u'characters': [u'Mark'], u'id': u'162696548'}, {u'name': u'Willie Robertson', u'characters': [u'Willie Robertson'], u'id': u'771465246'}]",17,[{u'name': u'Harold Cronk'}],"[u'Drama', u'Comedy']",771371948,God's Not Dead,2014-03-21,http://api.rottentomatoes.com/api/public/v1.0/movies/771371948/reviews.json,2528814,http://www.rottentomatoes.com/m/gods_not_dead/,60753735
37,38,"[{u'name': u'Paul Aaron', u'id': u'162681805'}, {u'name': u'Pierce Brosnan', u'characters': [u'Martin Sharp'], u'id': u'162663451'}, {u'name': u'Toni Collette', u'characters': [u'Maureen'], u'id': u'162654444'}, {u'name': u'Aaron Paul', u'characters': [u'J.J.'], u'id': u'410145522'}, {u'name': u'Imogen Poots', u'characters': [u'Jess Crichton'], u'id': u'770678493'}]",21,[{u'name': u'Pascal Chaumeil'}],"[u'Drama', u'Art House & International', u'Comedy']",771357238,A Long Way Down,2014-07-11,http://api.rottentomatoes.com/api/public/v1.0/movies/771357238/reviews.json,0458413,http://www.rottentomatoes.com/m/a_long_way_down/,7435
38,48,"[{u'name': u'Elijah Wood', u'characters': [u'Tom Selznick'], u'id': u'162652512'}, {u'name': u'John Cusack', u'characters': [u'Clem'], u'id': u'162652927'}, {u'name': u'Tamsin Egerton', u'characters': [u'Ashley'], u'id': u'326390750'}, {u'name': u'Kerry Bishe', u'characters': [u'Emma Selznick'], u'id': u'770907902'}, {u'name': u'Alex Winter', u'characters': [u'Assistant'], u'id': u'162663886'}]",77,[{u'name': u'Eugenio Mira'}],[u'Mystery & Suspense'],771364875,Grand Piano,2014-03-07,http://api.rottentomatoes.com/api/public/v1.0/movies/771364875/reviews.json,2039345,http://www.rottentomatoes.com/m/grand_piano/,22353
40,92,"[{u'name': u'Emily Van Camp', u'id': u'770782108'}, {u'name': u'Chris Evans', u'characters': [u'Captain America/Steve Rogers'], u'id': u'162652784'}, {u'name': u'Samuel L. Jackson', u'characters': [u'Nick Fury'], u'id': u'162652156'}, {u'name': u'Scarlett Johansson', u'characters': [u'Natasha Romanoff/Black Widow'], u'id': u'162652872'}, {u'name': u'Anthony Mackie', u'characters': [u'Sam Wilson/Falcon'], u'id': u'162653786'}]",89,"[{u'name': u'Anthony Russo'}, {u'name': u'Joe Russo'}]","[u'Action & Adventure', u'Science Fiction & Fantasy']",771312513,Captain America: The Winter Soldier,2014-04-04,http://api.rottentomatoes.com/api/public/v1.0/movies/771312513/reviews.json,1843866,http://www.rottentomatoes.com/m/captain_america_the_winter_soldier_2014/,259322890
